"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Green Violetear",1,0.0178571428571429,0.142857142857143,-0.857142857142857,0.826086956521739,1,1,1,0.142857142857143,1.78260869565217,0,0,0.0305180979418027,0.0100449038303529,1677720700.50048,0,1,0.0228040624440079,0.0296610169491525,0.298161269485599
"Hoary Puffleg",4,0.0714285714285714,1.40277777777778,0.100694444444444,0.652173913043478,0.945454545454545,0.945454545454545,0.486172434804398,0.350694444444444,1.56521739130435,0.00301204819277108,0,0.0351312987934705,0.0194847485341764,6710885302.00018,1.38629436111989,4,0.0912162497760314,0.101694915254237,0.365554835223524
"Purple-bibbed Whitetip",6,0.107142857142857,0.737103174603175,-0.0438161375661376,0.565217391304348,0.909090909090909,0.909090909090909,0.389249472080761,0.122850529100529,1.17391304347826,0.0435800792639914,0.00268096514745308,0.0447125621007807,0.0258024096649962,838860795.708333,1.79175946922805,6,0.136824374664047,0.228813559322034,0.0794279170779636
"Rufous-tailed Hummingbird",1,0.0178571428571429,0.0625,-0.9375,0.869565217391304,1,1,1,0.0625,1.34782608695652,0,0,0.0404542228530873,0.0112644385002039,1677720700.50048,0,1,0.0228040624440079,0.0677966101694915,0
"Sparkling Violetear",3,0.0535714285714286,0.316468253968254,-0.227843915343915,0.739130434782609,0.963636363636364,0.963636363636364,0.566755786218474,0.105489417989418,1.21739130434783,0.0338352174638497,0.00268096514745308,0.0436479772888573,0.020619047593626,419430397.854167,1.09861228866811,3,0.0684121873320235,0.135593220338983,0.0613467700714711
"Speckled Hummingbird",10,0.178571428571429,1.51785714285714,0.0517857142857143,0.434782608695652,0.836363636363636,0.836363636363636,0.289199522192488,0.151785714285714,1.34782608695652,0.0226859820233314,0,0.0404542228530873,0.027635129149878,1677721580,2.30258509299405,10,0.228040624440078,0.296610169491525,0.123703056531645
"Stripe-throated Hermit",14,0.25,4.54027777777778,0.252876984126984,0.260869565217391,0.763636363636364,0.763636363636364,0.233549683248457,0.324305555555556,1.26086956521739,0.00791979105232117,0,0.042583392476934,0.0285739617143727,1677721599.85714,2.63905732961526,14,0.31925687421611,0.317796610169492,0.307854323533541
"Tawny-bellied Hermit",32,0.571428571428571,9.5129329004329,0.266029153138528,0,0.436363636363636,0.436363636363636,0.116774841624228,0.297279153138528,1.1304347826087,0.127256675130523,0.310991957104558,0.045777146912704,0.0328294243278818,53687082416.0014,3.46573590279973,32,0.729729998208251,0.613877118644068,0.177508721571239
"Tyrian Metaltail",1,0.0178571428571429,0.111111111111111,-0.888888888888889,0.91304347826087,1,1,1,0.111111111111111,1.65217391304348,0,0,0.0330021291696238,0.0101248004676196,1677720700.50048,0,1,0.0228040624440079,0.038135593220339,0.207518749639422
"Violet-tailed Sylph",28,0.5,6.91809163059163,0.211360415378273,0.0869565217391304,0.509090909090909,0.509090909090909,0.134839972492648,0.247074701092558,1.04347826086957,0.109965099865879,0.34361036639857,0.0479063165365507,0.0335013069854607,3355443199.71429,3.3322045101752,28,0.638513748432219,0.663438256658596,0.096346664169984
"Wedge-billed Hummingbird",5,0.0892857142857143,0.796266233766234,-0.0407467532467533,0.608695652173913,0.927272727272727,0.927272727272727,0.430644337539164,0.159253246753247,1.21739130434783,0.0181326705423091,0,0.0436479772888573,0.0232852701023501,838860790,1.6094379124341,5,0.114020312220039,0.182203389830508,0.149240629635555
"White-necked Jacobin",1,0.0178571428571429,0.0625,-0.9375,0.956521739130435,1,1,1,0.0625,1.34782608695652,0,0,0.0404542228530873,0.0112644385002039,1677720700.50048,0,1,0.0228040624440079,0.0677966101694915,0
"White-sided Flowerpiercer",1,0.0178571428571429,0.25,-0.75,1,1,1,1,0.25,1.91304347826087,0,0,0.0273243435060326,0.00985392619372573,1677720700.50048,0,1,0.0228040624440079,0.0169491525423729,0.5
"White-whiskered Hermit",13,0.232142857142857,2.88118686868687,0.144706682206682,0.347826086956522,0.781818181818182,0.781818181818182,0.245234296418466,0.221629759129759,1.1304347826087,0.0423484146375713,0,0.045777146912704,0.0287555597434869,3355443137.26923,2.56494935746154,13,0.296452811772102,0.334745762711864,0.214670074903568
